Elements: 2002    Rows: 96      Columns: 96
Row: 3    Column: 3      0.342406580688
Row: 17    Column: 3      0.202287946428
Row: 3    Column: 17      0.202287946428
Row: 17    Column: 17      4.55126350308
Row: 16    Column: 3      -0.0158454585535
Row: 3    Column: 16      -0.0158454585535
Row: 16    Column: 17      -2.30146673832
Row: 17    Column: 16      -2.30146673832
Row: 16    Column: 16      6.76876653439
Row: 15    Column: 3      -0.0696683476633
Row: 3    Column: 15      -0.0696683476633
Row: 15    Column: 17      1.71372078924
Row: 17    Column: 15      1.71372078924
Row: 15    Column: 16      -3.60828648589
Row: 16    Column: 15      -3.60828648589
Row: 15    Column: 15      6.7687665344
Row: 14    Column: 3      0.0408192791006
Row: 3    Column: 14      0.0408192791006
Row: 14    Column: 17      -0.680321318343
Row: 17    Column: 14      -0.680321318343
Row: 14    Column: 16      1.71372078924
Row: 16    Column: 14      1.71372078924
Row: 14    Column: 15      -2.30146673832
Row: 15    Column: 14      -2.30146673832
Row: 14    Column: 14      4.55126350309
Row: 4    Column: 17      0.0408192791005
Row: 17    Column: 4      0.0408192791005
Row: 4    Column: 16      -0.0696683476631
Row: 16    Column: 4      -0.0696683476631
Row: 4    Column: 15      -0.015845458554
Row: 15    Column: 4      -0.015845458554
Row: 4    Column: 14      0.202287946429
Row: 14    Column: 4      0.202287946429
Row: 4    Column: 4      0.342406580688
Row: 6    Column: 3      -0.648027584876
Row: 3    Column: 6      -0.648027584876
Row: 6    Column: 17      -2.84830729166
Row: 17    Column: 6      -2.84830729166
Row: 6    Column: 16      1.34557222773
Row: 16    Column: 6      1.34557222773
Row: 6    Column: 15      -0.824566661155
Row: 15    Column: 6      -0.824566661155
Row: 6    Column: 14      0.340160659171
Row: 14    Column: 6      0.340160659171
Row: 6    Column: 4      -0.0408192791005
Row: 4    Column: 6      -0.0408192791005
Row: 6    Column: 6      4.55126350308
Row: 42    Column: 3      -0.215291556437
Row: 3    Column: 42      -0.215291556437
Row: 42    Column: 17      -2.82031938933
Row: 17    Column: 42      -2.82031938933
Row: 42    Column: 16      -3.22937334656
Row: 16    Column: 42      -3.22937334656
Row: 42    Column: 15      1.50704089506
Row: 15    Column: 42      1.50704089506
Row: 42    Column: 14      -0.990341159612
Row: 14    Column: 42      -0.990341159612
Row: 42    Column: 4      0.107645778219
Row: 4    Column: 42      0.107645778219
Row: 42    Column: 6      0.50378224206
Row: 6    Column: 42      0.50378224206
Row: 42    Column: 42      14.984292328
Row: 43    Column: 3      -0.0538228891097
Row: 3    Column: 43      -0.0538228891097
Row: 43    Column: 17      1.19486813823
Row: 17    Column: 43      1.19486813823
Row: 43    Column: 16      -2.79879023369
Row: 16    Column: 43      -2.79879023369
Row: 43    Column: 15      -2.79879023369
Row: 15    Column: 43      -2.79879023369
Row: 43    Column: 14      1.19486813823
Row: 14    Column: 43      1.19486813823
Row: 43    Column: 4      -0.0538228891091
Row: 4    Column: 43      -0.0538228891091
Row: 43    Column: 6      0.21098572531
Row: 6    Column: 43      0.21098572531
Row: 43    Column: 42      -3.83218970459
Row: 42    Column: 43      -3.83218970459
Row: 43    Column: 43      17.3094411376
Row: 44    Column: 3      0.107645778219
Row: 3    Column: 44      0.107645778219
Row: 44    Column: 17      -0.990341159613
Row: 17    Column: 44      -0.990341159613
Row: 44    Column: 16      1.50704089506
Row: 16    Column: 44      1.50704089506
Row: 44    Column: 15      -3.22937334656
